"feature","Estimate_group","pvalue","fdr","sign_group","method","vs","fold_change","log2FC"
"Coro1a","Group",0.936804343633683,0.969765473491105,"DMSO","DESeq2","DMSO vs T4400",1.01950832874956,0.0278735613246916
"Coro1b","Group",0.159021492607409,0.354321085077375,"DMSO","DESeq2","DMSO vs T4400",1.08215469129657,0.113906743540607
"Coro1c","Group",0.0345434895056893,0.135211459747393,"T4400","DESeq2","DMSO vs T4400",0.920880276710445,-0.118914490604992
"Coro2a","Group",0.333193654769809,0.553767232017049,"T4400","DESeq2","DMSO vs T4400",0.872284853197617,-0.197128756688638
"Coro2b","Group",4.46789610938111e-05,0.00228038855188484,"T4400","DESeq2","DMSO vs T4400",0.845319131583333,-0.242431992980122
"Coro6","Group",0.462749326596669,0.666797283436229,"DMSO","DESeq2","DMSO vs T4400",1.06259665172544,0.0875940719545705
"Coro7","Group",0.338845382022738,0.559823371956781,"T4400","DESeq2","DMSO vs T4400",0.948257258442239,-0.0766495852056623
"Cort","Group",0.210365877681266,0.42345460259981,"T4400","DESeq2","DMSO vs T4400",0.553559256327037,-0.853190334821141
"Cotl1","Group",0.000111928931769836,0.0038314836355845,"T4400","DESeq2","DMSO vs T4400",0.561265238088307,-0.83324538600729
"Cox10","Group",0.784003899163931,0.888531141687619,"DMSO","DESeq2","DMSO vs T4400",1.02094396971193,0.0299036920366448
"Cox11","Group",0.204368481688008,0.41526928927472,"T4400","DESeq2","DMSO vs T4400",0.930645322677616,-0.103696646444649
"Cox14","Group",0.403691543950456,0.618081008261831,"T4400","DESeq2","DMSO vs T4400",0.958768621641143,-0.0607454013190579
"Cox15","Group",0.125190490523269,0.305468229104071,"T4400","DESeq2","DMSO vs T4400",0.912593926176141,-0.13195504301561
"Cox16","Group",0.0788099083074634,0.228007536427932,"T4400","DESeq2","DMSO vs T4400",0.758081637190687,-0.399574875477482
"Cox17","Group",0.354183953732356,0.574102934860917,"T4400","DESeq2","DMSO vs T4400",0.939237018744185,-0.0904388234643496
"Cox18","Group",0.426697841910843,0.637058296120371,"T4400","DESeq2","DMSO vs T4400",0.944425790976883,-0.0824906547541107
"Cox19","Group",0.00190768704420889,0.0212602321665089,"T4400","DESeq2","DMSO vs T4400",0.874272884742978,-0.193844439854452
"Cox20","Group",0.0835638758109607,0.236335569324346,"T4400","DESeq2","DMSO vs T4400",0.883196641369113,-0.179193409059027
"Cox4i1","Group",0.310201850544148,0.531625267992378,"T4400","DESeq2","DMSO vs T4400",0.953500682096095,-0.0686941243028693
"Cox5a","Group",0.0209573173756972,0.0978787141455978,"T4400","DESeq2","DMSO vs T4400",0.869044037744428,-0.202498809187455
"Cox5b","Group",0.000966928602566344,0.013936298887191,"T4400","DESeq2","DMSO vs T4400",0.83576028857962,-0.258838884719908
"Cox6a1","Group",0.000514576611202506,0.00934639150959653,"T4400","DESeq2","DMSO vs T4400",0.859335981513934,-0.218705791120351
"Cox6a2","Group",0.467945892074752,0.670782112255331,"T4400","DESeq2","DMSO vs T4400",0.921507700748355,-0.117931872834909
"Cox6b1","Group",0.000249681719786189,0.00619236670636397,"T4400","DESeq2","DMSO vs T4400",0.84304429674346,-0.246319657061479
"Cox6b2","Group",0.0282442288036607,0.119028652904447,"T4400","DESeq2","DMSO vs T4400",0.383444310984281,-1.38291102980772
"Cox6c","Group",0.00631658633426725,0.04465031275042,"T4400","DESeq2","DMSO vs T4400",0.908621799346329,-0.13824817642692
"Cox7a1","Group",0.507461620796809,0.702024724424843,"T4400","DESeq2","DMSO vs T4400",0.907907854348342,-0.139382212371782
"Cox7a2","Group",0.0161004605883641,0.0821959455951525,"T4400","DESeq2","DMSO vs T4400",0.879547539877911,-0.18516653686888
"Cox7a2l","Group",0.951239629897419,0.976967351585953,"T4400","DESeq2","DMSO vs T4400",0.997047498616834,-0.00426585968549181
"Cox7b","Group",0.0724319477532953,0.216232900630383,"T4400","DESeq2","DMSO vs T4400",0.899620631583502,-0.152611347131024
"Cox7c","Group",0.0535396037444692,0.179642779764666,"T4400","DESeq2","DMSO vs T4400",0.90487939533291,-0.144202576006332
"Cox8a","Group",0.35569531622166,0.575492866295108,"T4400","DESeq2","DMSO vs T4400",0.955066855209518,-0.0663263687512122
"Cox8b","Group",0.510081476849246,0.703833355652448,"T4400","DESeq2","DMSO vs T4400",0.890455342051995,-0.167384835515192
"Cp","Group",4.39411569286278e-05,0.00225754065960531,"DMSO","DESeq2","DMSO vs T4400",1.7264191922229,0.787782808151552
"Cpa1","Group",0.103818797720658,0.271611184924154,"T4400","DESeq2","DMSO vs T4400",0.423766918881737,-1.23865712593157
"Cpa4","Group",0.0103943694978228,0.0619054042864899,"T4400","DESeq2","DMSO vs T4400",0.704035535377637,-0.506279845826982
"Cpa5","Group",0.224358753949664,0.439701163809966,"T4400","DESeq2","DMSO vs T4400",0.396616429275994,-1.33418365447624
"Cpa6","Group",0.8188291705745,0.908997486912449,"T4400","DESeq2","DMSO vs T4400",0.89113381337455,-0.166286010618584
"Cpd","Group",0.000686853663109711,0.011076779346186,"DMSO","DESeq2","DMSO vs T4400",1.22677380638286,0.294869268159549
"Cpe","Group",0.0271821891844429,0.116308405644972,"DMSO","DESeq2","DMSO vs T4400",1.27467139947462,0.350125379280993
"Cpeb1","Group",0.000282692281020772,0.00656694629973213,"DMSO","DESeq2","DMSO vs T4400",1.55130877603683,0.633485872267288
"Cpeb2","Group",0.00355142403829058,0.0310352955981775,"DMSO","DESeq2","DMSO vs T4400",1.45803000921185,0.54402041355756
"Cpeb3","Group",0.796256967774856,0.895678580030649,"T4400","DESeq2","DMSO vs T4400",0.97826889040376,-0.0316970310046418
"Cpeb4","Group",0.048086950118958,0.167956382068668,"DMSO","DESeq2","DMSO vs T4400",1.28277461601349,0.359267710627628
"Cped1","Group",0.0533890201185538,0.179280556531578,"DMSO","DESeq2","DMSO vs T4400",1.35544429992549,0.438765828872888
"Cplx2","Group",0.261771481844867,0.483353980999858,"T4400","DESeq2","DMSO vs T4400",0.92044446979527,-0.119597408149268
"Cplx3","Group",0.25652815383093,0.4771282258041,"T4400","DESeq2","DMSO vs T4400",0.76320957377018,-0.389848826132865
"Cpm","Group",0.432780515883123,0.641816081460823,"T4400","DESeq2","DMSO vs T4400",0.780419988408759,-0.357677365622004
"Cpn1","Group",0.397663182180303,0.613247099225419,"T4400","DESeq2","DMSO vs T4400",0.581001768827887,-0.783385539045275
"Cpne1","Group",0.0322960660148108,0.129073385600304,"T4400","DESeq2","DMSO vs T4400",0.880034907820896,-0.18436734347691
"Cpne2","Group",0.492122460953197,0.689814336447832,"DMSO","DESeq2","DMSO vs T4400",1.05193689132439,0.0730481558618117
"Cpne3","Group",0.418040725602017,0.629803209116877,"DMSO","DESeq2","DMSO vs T4400",1.09454084359032,0.130325790741595
"Cpne5","Group",0.542491824029701,0.727116641712263,"T4400","DESeq2","DMSO vs T4400",0.797004370967683,-0.327340458556046
"Cpne7","Group",0.115122363292402,0.289483039605121,"DMSO","DESeq2","DMSO vs T4400",2.01407118976141,1.01011467803219
