"feature","Estimate_group","pvalue","fdr","sign_group","method","vs","fold_change","log2FC"
"Lrfn4","Group",0.417400446259352,0.953855163119584,"T3976","DESeq2","DMSO vs T3976",0.964367669745367,-0.0523448092308972
"Lrguk","Group",0.467097508995109,0.961396242335016,"DMSO","DESeq2","DMSO vs T3976",1.31564667682435,0.395772098470233
"Lrif1","Group",0.53964095805987,0.968490966624377,"DMSO","DESeq2","DMSO vs T3976",1.070147135205,0.0978091673154644
"Lrig1","Group",0.972848368952272,0.998281345570293,"DMSO","DESeq2","DMSO vs T3976",1.00211806403323,0.00305248893347384
"Lrig2","Group",0.29091834916837,0.933464758691063,"DMSO","DESeq2","DMSO vs T3976",1.08360212781929,0.11583513160875
"Lrig3","Group",0.972963227721425,0.998281345570293,"DMSO","DESeq2","DMSO vs T3976",1.00236914526577,0.00341391169463543
"Lrp1","Group",0.682443172009236,0.97889747617407,"DMSO","DESeq2","DMSO vs T3976",1.0321761479195,0.0456891975483516
"Lrp10","Group",0.0960054178868677,0.833832658625936,"T3976","DESeq2","DMSO vs T3976",0.929597741274949,-0.105321531583161
"Lrp11","Group",0.574416999724997,0.974019589531822,"T3976","DESeq2","DMSO vs T3976",0.949013903945747,-0.0754988706476857
"Lrp12","Group",0.114544477236272,0.85228910160007,"DMSO","DESeq2","DMSO vs T3976",1.06662744199832,0.0930563510086598
"Lrp2","Group",0.00617684773570764,0.453067230116341,"DMSO","DESeq2","DMSO vs T3976",3.21124547439097,1.68313295193705
"Lrp2bp","Group",0.953839746991791,0.997847092875734,"DMSO","DESeq2","DMSO vs T3976",1.0284230029494,0.0404337847025983
"Lrp4","Group",0.25565024085858,0.919120594663115,"DMSO","DESeq2","DMSO vs T3976",1.03962124781443,0.0560580250743996
"Lrp5","Group",0.831932493869353,0.991433589305502,"DMSO","DESeq2","DMSO vs T3976",1.01207357766343,0.0173141776522824
"Lrp6","Group",0.215289504819085,0.918302458804489,"DMSO","DESeq2","DMSO vs T3976",1.12858667293878,0.174517218545114
"Lrp8","Group",0.264938352447209,0.922455052760019,"T3976","DESeq2","DMSO vs T3976",0.866936277183701,-0.206002140620949
"Lrpap1","Group",0.337360955947574,0.939298480453314,"DMSO","DESeq2","DMSO vs T3976",1.08751970830169,0.121041546075361
"Lrpprc","Group",0.592512367344442,0.975358805079049,"DMSO","DESeq2","DMSO vs T3976",1.02074529134914,0.0296229124928576
"Lrr1","Group",0.494999610031053,0.965033439955982,"T3976","DESeq2","DMSO vs T3976",0.885169898517483,-0.175973703845529
"Lrrc1","Group",0.919657664089706,0.995971190613331,"T3976","DESeq2","DMSO vs T3976",0.993037045263382,-0.0100805563674752
"Lrrc10b","Group",0.656234317264696,0.977726074254972,"DMSO","DESeq2","DMSO vs T3976",1.13262391093465,0.179668892136362
"Lrrc14","Group",0.694856858479822,0.979712220991605,"T3976","DESeq2","DMSO vs T3976",0.979824077683884,-0.0294053507984106
"Lrrc14b","Group",0.487406216873412,0.96337282334811,"T3976","DESeq2","DMSO vs T3976",0.917381781261809,-0.124405838376833
"Lrrc15","Group",0.980347164999971,0.998281345570293,"T3976","DESeq2","DMSO vs T3976",0.995980032573247,-0.00581127548187257
"Lrrc16a","Group",0.0101448974658316,0.547017482674669,"DMSO","DESeq2","DMSO vs T3976",1.1481184803396,0.199271528928622
"Lrrc17","Group",0.459885946061566,0.961396242335016,"DMSO","DESeq2","DMSO vs T3976",1.07544400938273,0.10493241598498
"Lrrc19","Group",0.368733498603164,0.946209200724509,"DMSO","DESeq2","DMSO vs T3976",1.46745991399462,0.553321094360165
"Lrrc2","Group",0.160514722376943,0.892439812777738,"T3976","DESeq2","DMSO vs T3976",0.696038430400337,-0.522761131029797
"Lrrc20","Group",0.782132865798473,0.988998395019864,"DMSO","DESeq2","DMSO vs T3976",1.01677806474208,0.0240048120987266
"Lrrc23","Group",0.84052406454759,0.991433589305502,"T3976","DESeq2","DMSO vs T3976",0.912303925365888,-0.132413570306848
"Lrrc24","Group",0.298319832154118,0.935232019348757,"DMSO","DESeq2","DMSO vs T3976",1.14064475750342,0.189849548517572
"Lrrc27","Group",0.403461049600555,0.950983198867578,"T3976","DESeq2","DMSO vs T3976",0.91600763485306,-0.126568471763022
"Lrrc28","Group",0.434814936778612,0.958451068170202,"T3976","DESeq2","DMSO vs T3976",0.952800840906423,-0.0697534084160329
"Lrrc29","Group",0.173031046099091,0.894144109340808,"DMSO","DESeq2","DMSO vs T3976",1.19381048282368,0.255573827229507
"Lrrc30","Group",0.74640578153724,0.987933351677229,"DMSO","DESeq2","DMSO vs T3976",1.06489720819161,0.0907141775033591
"Lrrc32","Group",0.690782356092048,0.979712220991605,"T3976","DESeq2","DMSO vs T3976",0.954980607894017,-0.0664566572145633
"Lrrc34","Group",0.338968143029999,0.939977795826522,"T3976","DESeq2","DMSO vs T3976",0.502061786275907,-0.99406317439919
"Lrrc39","Group",0.880543377453635,0.992864637254299,"T3976","DESeq2","DMSO vs T3976",0.98638487827507,-0.0197774121425459
"Lrrc4","Group",0.0990241180034982,0.833832658625936,"T3976","DESeq2","DMSO vs T3976",0.722891271797967,-0.46814942341479
"Lrrc40","Group",0.548986083471053,0.968490966624377,"DMSO","DESeq2","DMSO vs T3976",1.03253613104334,0.0461922660660528
"Lrrc41","Group",0.819695016184916,0.991433589305502,"DMSO","DESeq2","DMSO vs T3976",1.01033515255524,0.0148339491378689
"Lrrc42","Group",0.973926949911718,0.998281345570293,"T3976","DESeq2","DMSO vs T3976",0.998057060095665,-0.00280579639513745
"Lrrc45","Group",0.272068883428778,0.928250567976057,"DMSO","DESeq2","DMSO vs T3976",1.06629523712398,0.0926069485682144
